GTFS Stop ID,Station ID,station_complex_id,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,is_cbd,total_from_all,total_to_all,total_from_to_cbd,total_to_from_cbd
A07,147,147,IND,8th Av - Fulton St,175 St,M,FALSE,A,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.939704 40.847391),FALSE,1258672.7112,1218350.548,731380.1006,672586.5964
106,296,296,IRT,Broadway - 7Av,Marble Hill-225 St,M,FALSE,1,Elevated,The Bronx,Downtown,0,0,0,NA,POINT (-73.909831 40.874561),FALSE,527256.4612,524252.4982,157859.9248,157770.887
121,311,311,IRT,Broadway - 7Av,86 St,M,FALSE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.976218 40.788644),FALSE,1948658.9506,1957446.5416,920609.679,917725.398
206,419,419,IRT,Lenox - White Plains Rd,225 St,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.860341 40.888022),FALSE,257797.8932,246523.9386,83563.144,75081.5352
G13,266,266,IND,Queens Blvd,Elmhurst Av,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.882017 40.742454),FALSE,1619850.1418,1660126.9046,720551.2998,713004.4308
D27,43,43,BMT,Broadway - Brighton,Parkside Av,Bk,FALSE,Q,Open Cut,Manhattan,Southbound,0,0,0,NA,POINT (-73.961495 40.655292),FALSE,750812.5869999999,748797.6362,360419.0208,345143.1052
248,343,343,IRT,Eastern Pky,Nostrand Av,Bk,FALSE,3,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.950466 40.669847),FALSE,388134.3912,381923.3892,135937.9824,140481.8004
707,451,451,IRT,Flushing,Junction Blvd,Q,FALSE,7,Elevated,Outbound,Manhattan,1,1,1,NA,POINT (-73.869527 40.749145),FALSE,3777708.9094,3467853.4736,1356305.3564,1225283.8088
R44,38,38,BMT,4th Av,86 St,Bk,FALSE,R,Subway,Manhattan,Bay Ridge,1,1,1,NA,POINT (-74.028398 40.622687),FALSE,1416060.0816,1319380.8656,484524.443,449081.6096
412,387,387,IRT,Jerome Av,170 St,Bx,FALSE,4,Elevated,Northbound,Manhattan,1,1,1,NA,POINT (-73.917791 40.840075),FALSE,733825.9698,729583.7256,245946.0154,246913.5602
221,434,434,IRT,Lenox - White Plains Rd,3 Av-149 St,Bx,FALSE,2 5,Subway,Northbound,Manhattan,1,1,1,NA,POINT (-73.917757 40.816109),FALSE,2083426.5086,1985119.9594,734620.539,688623.5198
108,298,298,IRT,Broadway - 7Av,207 St,M,FALSE,1,Elevated,The Bronx,Downtown,0,0,0,NA,POINT (-73.918822 40.864621),FALSE,676448.6724,648544.714,131761.4218,152568.657
H04,199,199,IND,Rockaway,Broad Channel,Q,FALSE,A S,At Grade,Inbound,Rockaways,0,0,0,NA,POINT (-73.815925 40.608382),FALSE,11958.072,12155.2276,6610.6598,6371.4738
A44,177,177,IND,8th Av - Fulton St,Clinton-Washington Avs,Bk,FALSE,C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.965838 40.683263),FALSE,938842.8028,922211.2338,597399.3218,538031.0304
A49,182,182,IND,8th Av - Fulton St,Ralph Av,Bk,FALSE,C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.920786 40.678822),FALSE,555743.7268000001,534063.0136,248883.887,233243.4002
711,455,455,IRT,Flushing,69 St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.896403 40.746325),FALSE,733631.9384,731172.3318,261442.3158,267850.0822
B23,70,70,BMT,West End,Bay 50 St,Bk,FALSE,D,Elevated,Manhattan,Coney Island,0,0,0,NA,POINT (-73.983765 40.588841),FALSE,284473.047,275878.2148,105593.6548,92932.9054
G11,264,264,IND,Queens Blvd,Woodhaven Blvd,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.869229 40.733106),FALSE,2399141.64,2405602.183,912760.211,884248.3794
S09,522,522,SIR,Staten Island,Tottenville,SI,FALSE,SIR,At Grade,Ferry,Last Stop,1,1,1,NA,POINT (-74.251961 40.512764),FALSE,0,0,0,0
R09,461,461,BMT,Astoria,Queensboro Plaza,Q,FALSE,N W,Elevated,Astoria,Manhattan,1,1,1,NA,POINT (-73.940202 40.750582),FALSE,1767347.375,1841691.9194,806821.1282,850484.1392
M13,99,99,BMT,Jamaica,Lorimer St,Bk,FALSE,M J,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.947408 40.703869),FALSE,463908.5144,480234.9436,238473.2402,212994.7618
S23,509,509,SIR,Staten Island,Grant City,SI,FALSE,SIR,Open Cut,Ferry,South Shore,0,0,0,NA,POINT (-74.109704 40.578965),FALSE,0,0,0,0
G06,279,279,IND,Queens - Archer,Sutphin Blvd-Archer Av-JFK Airport,Q,FALSE,E J Z,Subway,Jamaica,Manhattan,1,1,1,NA,POINT (-73.807969 40.700486),FALSE,3853431.9544,3093537.7614,1380005.5574,1067590.0614
716,460,460,IRT,Flushing,33 St-Rawson St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.930997 40.744587),FALSE,905203.746,989061.4504,181971.1874,187467.5108
A17,155,155,IND,8th Av - Fulton St,Cathedral Pkwy (110 St),M,FALSE,C B,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.958161 40.800603),FALSE,978092.5916,962298.3506,551527.9336,531359.2156
F06,259,259,IND,Queens Blvd,Kew Gardens-Union Tpke,Q,FALSE,E F,Subway,Jamaica,Manhattan,1,1,1,NA,POINT (-73.831008 40.714441),FALSE,2923786.6156,2901791.846,1174594.1496,1103216.0071999999
130,320,320,IRT,Broadway - 7Av,23 St,M,TRUE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.995657 40.744081),TRUE,1803815.7776,1868648.5956000001,849425.1112,873977.6728000001
A42,175,175,IND,8th Av - Fulton St,Hoyt-Schermerhorn Sts,Bk,FALSE,A C G,Subway,Westbound,Queens,0,0,0,NA,POINT (-73.985001 40.688484),FALSE,1609352.3716,1629123.7502,496615.3836,569055.7726
224,438,438,IRT,Lenox - White Plains Rd,135 St,M,FALSE,2 3,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.94077 40.814229),FALSE,1197055.6562,1218179.7126,551637.2026,542147.1484
N06,75,75,BMT,Sea Beach,20 Av,Bk,FALSE,N,Open Cut,Manhattan,Coney Island,0,0,0,NA,POINT (-73.985026 40.61741),FALSE,508883.2464,478374.2002,198631.1002,176003.1074
A05,145,145,IND,8th Av - Fulton St,190 St,M,FALSE,A,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.93418 40.859022),FALSE,515395.1262,531770.46,329239.1892,314214.936
G35,291,291,IND,Crosstown,Clinton-Washington Avs,Bk,FALSE,G,Subway,Queens,Southbound,0,0,0,NA,POINT (-73.966839 40.688089),FALSE,590539.916,591538.7378,216860.3428,256762.7982
616,374,374,IRT,Pelham,E 143 St-St Mary's St,Bx,FALSE,6,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.907657 40.808719),FALSE,113917.3186,111777.307,31912.123199999998,28322.435
J29,94,94,BMT,Jamaica,Halsey St,Bk,FALSE,J,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.916559 40.68637),FALSE,623119.1802,616415.181,360226.5518,325193.2218
D22,231,231,IND,6th Av - Culver,Grand St,M,TRUE,B D,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-73.993753 40.718267),TRUE,3451474.6224,3633759.3612,1242823.2086,1318139.6278
N10,79,79,BMT,Sea Beach,86 St,Bk,FALSE,N,Open Cut,Manhattan,Coney Island,0,0,0,NA,POINT (-73.97823 40.592721),FALSE,274372.1044,263247.4004,76105.878,70974.201
252,347,347,IRT,Eastern Pky,Saratoga Av,Bk,FALSE,3,Elevated,Manhattan,New Lots,0,0,0,NA,POINT (-73.916327 40.661453),FALSE,455982.2556,457340.691,161742.8442,156576.9416
S19,513,513,SIR,Staten Island,Great Kills,SI,FALSE,SIR,Open Cut,Ferry,South Shore,1,1,1,NA,POINT (-74.151399 40.551231),FALSE,0,0,0,0
M06,111,111,BMT,Myrtle Av,Seneca Av,Q,FALSE,M,Elevated,Inbound,Middle Village,0,0,0,NA,POINT (-73.90774 40.702762),FALSE,325031.969,309330.6938,199303.6052,174212.7154
H15,203,203,IND,Rockaway,Rockaway Park-Beach 116 St,Q,FALSE,A S,At Grade,Inbound,Last Stop,1,1,1,NA,POINT (-73.835592 40.580903),FALSE,39308.9422,34422.772,12385.6826,11684.424
L13,124,124,BMT,Canarsie,Montrose Av,Bk,FALSE,L,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.93985 40.707739),FALSE,903523.5998,922663.8784,511185.6966,500324.3836
D10,218,218,IND,Concourse,167 St,Bx,FALSE,B D,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.91844 40.833771),FALSE,768567.8326,756509.5664,396053.236,368091.291
257,352,352,IRT,Eastern Pky,New Lots Av,Bk,FALSE,3,Elevated,Manhattan,Last Stop,0,0,0,NA,POINT (-73.884079 40.666235),FALSE,519950.0002,497935.6052,144747.957,137412.2668
S14,518,518,SIR,Staten Island,Pleasant Plains,SI,FALSE,SIR,Embankment,Ferry,South Shore,0,0,0,NA,POINT (-74.217847 40.52241),FALSE,0,0,0,0
502,443,443,IRT,Dyre Av,Baychester Av,Bx,FALSE,5,Open Cut,Eastchester,Manhattan,0,0,0,NA,POINT (-73.838591 40.878663),FALSE,244717.4016,233397.5596,93118.8718,84606.2766
