GTFS Stop ID,Station ID,station_complex_id,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,is_cbd,total_from_all,total_to_all,total_from_to_cbd,total_to_from_cbd
A57,189,189,IND,Liberty Av,Grant Av,Bk,FALSE,A,Subway,Manhattan,Queens,0,0,0,NA,POINT (-73.86505 40.677044),FALSE,583499.395,555041.1212,260319.2172,238237.235
G15,268,268,IND,Queens Blvd,65 St,Q,FALSE,M R,Subway,Outbound,Manhattan,0,0,0,NA,POINT (-73.898453 40.749669),FALSE,427971.6052,421891.7138,213898.638,198780.4256
D34,50,50,BMT,Broadway - Brighton,Avenue M,Bk,FALSE,Q,Open Cut,Manhattan,Southbound,0,0,0,NA,POINT (-73.959399 40.617618),FALSE,697583.567,693830.267,217178.1018,202776.1374
103,294,294,IRT,Broadway - 7Av,238 St,Bx,FALSE,1,Elevated,Van Cortlandt,Manhattan,0,0,0,NA,POINT (-73.90087 40.884667),FALSE,534435.743,530591.6566,230827.049,221558.2164
238,341,341,IRT,Eastern Pky,Eastern Pkwy-Brooklyn Museum,Bk,FALSE,2 3,Subway,Manhattan,Outbound,1,1,1,NA,POINT (-73.964375 40.671987),FALSE,649504.9778,674993.7552,301337.5868,302863.7474
637,408,619,IRT,Lexington Av,Bleecker St,M,TRUE,6,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.994659 40.725915),TRUE,6328694.7116,6809556.9426,2830292.4252,3124261.1634
D29,45,45,BMT,Broadway - Brighton,Beverley Rd,Bk,FALSE,Q,Open Cut,Manhattan,Southbound,0,0,0,NA,POINT (-73.964492 40.644031),FALSE,485105.5098,485967.993,224428.6136,213354.3736
705,449,449,IRT,Flushing,111 St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.855334 40.75173),FALSE,1836518.757,1821434.5293999999,638362.4994,605577.1398
A15,153,153,IND,8th Av - Fulton St,125 St,M,FALSE,A C B D,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.952343 40.811109),FALSE,3676424.8484,3612304.6576,1615616.8948,1574689.4522
D18,228,228,IND,6th Av - Culver,23 St,M,TRUE,F M,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.992821 40.742878),TRUE,3592613.4004,3734486.863,1627493.7362,1626062.374
419,413,413,IRT,Lexington Av,Wall St,M,TRUE,4 5,Subway,Uptown,Downtown,0,0,0,NA,POINT (-74.011862 40.707557),TRUE,2184431.381,2230639.3324,1149840.1902,1151933.7214
N08,77,77,BMT,Sea Beach,Kings Hwy,Bk,FALSE,N,Open Cut,Manhattan,Coney Island,0,0,0,NA,POINT (-73.980353 40.603923),FALSE,748391.8004,714205.052,270910.7516,253926.1174
115,305,305,IRT,Broadway - 7Av,137 St-City College,M,FALSE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.953676 40.822008),FALSE,1509928.0036,1493093.7454,712595.1766,703537.8718
226,440,440,IRT,Lenox - White Plains Rd,116 St,M,FALSE,2 3,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.949625 40.802098),FALSE,1216556.1062,1201261.7514,585423.2024,576705.6176
136,326,326,IRT,Broadway - 7Av,Franklin St,M,TRUE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-74.006886 40.719318),TRUE,795263.9884,816490.4898,569316.7058,546911.1006
410,385,385,IRT,Jerome Av,176 St,Bx,FALSE,4,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.911794 40.84848),FALSE,608137.6184,557330.2408,199086.3228,180053.012
D14,277,277,IND,Queens Blvd,7 Av,M,TRUE,E B D,Subway,Outbound,Downtown,0,0,0,NA,POINT (-73.981637 40.762862),TRUE,2568045.106,2682313.0734,1254362.29,1295931.8314
D08,216,216,IND,Concourse,174-175 Sts,Bx,FALSE,B D,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.910136 40.8459),FALSE,455377.7736,424496.0246,206543.2622,180092.0148
A30,165,165,IND,8th Av - Fulton St,23 St,M,TRUE,C E,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.998041 40.745906),TRUE,2932357.8312,3013262.222,1471670.7172,1445910.0294
A46,179,179,IND,8th Av - Fulton St,Nostrand Av,Bk,FALSE,A C,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.950426 40.680438),FALSE,2447519.1484,2380075.3422,1217041.624,1110218.6048
N03,72,72,BMT,Sea Beach,Fort Hamilton Pkwy,Bk,FALSE,N,Open Cut,Manhattan,Coney Island,0,0,0,NA,POINT (-74.005351 40.631386),FALSE,878212.0908,845954.5224,374872.7258,350097.602
504,445,445,IRT,Dyre Av,Pelham Pkwy,Bx,FALSE,5,Open Cut,Eastchester,Manhattan,0,0,0,NA,POINT (-73.855359 40.858985),FALSE,293510.0678,276465.4426,142027.3138,130595.558
R06,5,5,BMT,Astoria,36 Av,Q,FALSE,N W,Elevated,Astoria,Manhattan,0,0,0,NA,POINT (-73.929575 40.756804),FALSE,839813.2084,862184.9332,468875.4074,453636.8044
D03,211,211,IND,Concourse,Bedford Park Blvd,Bx,FALSE,B D,Subway,Northbound,Manhattan,1,1,1,NA,POINT (-73.887138 40.873244),FALSE,721578.2058,698623.6358,347071.7728,315930.8872
619,377,377,IRT,Pelham,3 Av-138 St,Bx,FALSE,6,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.926138 40.810476),FALSE,964852.794,916419.557,392604.3962,356002.407
M10,114,114,BMT,Myrtle Av,Central Av,Bk,FALSE,M,Elevated,Inbound,Middle Village,0,0,0,NA,POINT (-73.927397 40.697857),FALSE,466617.22119999997,447715.0566,310312.4778,275964.1476
242,354,354,IRT,Nostrand,Sterling St,Bk,FALSE,2 5,Subway,Manhattan,Flatbush,0,0,0,NA,POINT (-73.95085 40.662742),FALSE,673179.214,650414.5184,303347.0744,282112.6708
F22,238,238,IND,6th Av - Culver,Smith-9 Sts,Bk,FALSE,F G,Viaduct,Northbound,Southbound,0,0,0,NA,POINT (-73.995959 40.67358),FALSE,499893.7406,506048.2512,166316.6062,166779.0486
611,369,369,IRT,Pelham,Elder Av,Bx,FALSE,6,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.879159 40.828584),FALSE,711307.9406,715188.8806,290040.8368,273413.765
Q05,475,475,IND,Second Av,96 St,M,FALSE,Q,Subway,Last Stop,Downtown,1,1,1,NA,POINT (-73.947152 40.784318),FALSE,2567334.8618,2424402.5022,1552593.2582,1378761.5246
S29,503,503,SIR,Staten Island,Stapleton,SI,FALSE,SIR,Elevated,Ferry,South Shore,0,0,0,NA,POINT (-74.075162 40.627915),FALSE,0,0,0,0
M04,109,109,BMT,Myrtle Av,Fresh Pond Rd,Q,FALSE,M,Elevated,Inbound,Middle Village,0,0,0,NA,POINT (-73.895877 40.706186),FALSE,703249.3992,696920.5264,393871.9678,373816.9092
A10,149,149,IND,8th Av - Fulton St,163 St-Amsterdam Av,M,FALSE,C,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.939892 40.836013),FALSE,463022.9752,467080.1108,265008.8746,251696.3686
R30,26,26,BMT,Broadway - Brighton,DeKalb Av,Bk,FALSE,B Q R,Subway,Manhattan,Southbound,1,1,1,NA,POINT (-73.981824 40.690635),FALSE,3128086.8882,3177695.6902,1385433.634,1349077.4302
633,404,404,IRT,Lexington Av,28 St,M,TRUE,6,Subway,Uptown,Downtown,2,0,1,Downtown only,POINT (-73.984264 40.74307),TRUE,2718443.4174,2733826.2770000002,1137950.9318,1117989.4822
119,309,309,IRT,Broadway - 7Av,103 St,M,FALSE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.968379 40.799446),FALSE,1679279.2724,1667460.2841999999,887689.2498,871558.0222
B04,221,221,IND,63rd St,21 St-Queensbridge,Q,FALSE,F,Subway,Outbound,Manhattan,1,1,1,NA,POINT (-73.942836 40.754203),FALSE,1399370.9648,1405064.574,652897.577,597950.3902
204,417,417,IRT,Lenox - White Plains Rd,Nereid Av,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.854376 40.898379),FALSE,269221.671,263743.2086,75162.468,71665.4808
J14,82,82,BMT,Jamaica,104 St,Q,FALSE,J Z,Elevated,Jamaica,Manhattan,0,0,0,NA,POINT (-73.84433 40.695178),FALSE,277291.2466,277962.6492,94125.672,88209.581
L24,133,133,BMT,Canarsie,Atlantic Av,Bk,FALSE,L,Elevated,Manhattan,Canarsie,0,0,0,NA,POINT (-73.903097 40.675345),FALSE,251438.7384,218725.5476,53012.9284,47529.7222
234,337,337,IRT,Eastern Pky,Nevins St,Bk,FALSE,2 3 4 5,Subway,Manhattan,Outbound,0,0,0,NA,POINT (-73.980492 40.688246),FALSE,1228993.1254,1246723.0514,460506.5894,483880.4012
L25,134,134,BMT,Canarsie,Sutter Av,Bk,FALSE,L,Elevated,Manhattan,Canarsie,0,0,0,NA,POINT (-73.901975 40.669367),FALSE,273655.1754,259351.1464,85899.9998,76025.7592
D24,40,617,BMT,Broadway - Brighton,Atlantic Av-Barclays Ctr,Bk,FALSE,B Q,Subway,Manhattan,Southbound,1,1,1,NA,POINT (-73.97689 40.68446),FALSE,6511557.9592,6540546.901,2066193.791,2062665.913
606,364,364,IRT,Pelham,Zerega Av,Bx,FALSE,6,Elevated,Pelham Bay,Manhattan,0,0,0,NA,POINT (-73.847036 40.836488),FALSE,239910.1186,232934.2174,95569.4448,88416.5438
F27,243,243,IND,6th Av - Culver,Church Av,Bk,FALSE,F G,Subway,Northbound,Southbound,1,1,1,NA,POINT (-73.979678 40.644041),FALSE,1198649.1664,1144074.5634,436311.314,409172.1708
D42,57,57,BMT,Broadway - Brighton,W 8 St-NY Aquarium,Bk,FALSE,F Q,Elevated,Manhattan,Coney Island,0,0,0,NA,POINT (-73.975939 40.576127),FALSE,358385.2218,360535.9236,106652.7406,104130.8976
F34,249,249,IND,6th Av - Culver,Avenue P,Bk,FALSE,F,Elevated,Manhattan,Southbound,0,0,0,NA,POINT (-73.973022 40.608944),FALSE,249731.6144,241510.2962,104658.6754,96098.2694
414,389,604,IRT,Jerome Av,161 St-Yankee Stadium,Bx,FALSE,4,Elevated,Northbound,Manhattan,1,1,1,NA,POINT (-73.925831 40.827994),FALSE,3962391.6582,3927693.9508,1733083.9574,1682912.0682
301,436,436,IRT,Lenox - White Plains Rd,Harlem-148 St,M,FALSE,3,Subway,Last Stop,Downtown,0,0,0,NA,POINT (-73.93647 40.82388),FALSE,343651.1264,305903.4374,175932.5732,158002.4154
132,322,601,IRT,Broadway - 7Av,14 St,M,TRUE,1 2 3,Subway,Uptown,Downtown,1,1,1,NA,POINT (-74.000201 40.737826),TRUE,6719670.3104,7090331.2474,2714611.111,2960906.1408
H08,206,206,IND,Rockaway,Beach 44 St,Q,FALSE,A,Viaduct,Manhattan,Far Rockaway,0,0,0,NA,POINT (-73.776013 40.592943),FALSE,30497.7266,30356.498199999998,9752.2858,8723.5886
218,431,431,IRT,Lenox - White Plains Rd,Intervale Av,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,0,0,0,NA,POINT (-73.896736 40.822181),FALSE,294787.612,280607.423,107758.81,96122.6042
201,416,416,IRT,Lenox - White Plains Rd,Wakefield-241 St,Bx,FALSE,2,Elevated,Last Stop,Manhattan,0,0,0,NA,POINT (-73.85062 40.903125),FALSE,454157.5206,424571.4266,108478.4222,95466.9044
F15,233,625,IND,6th Av - Culver,Delancey St-Essex St,M,TRUE,F,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-73.988114 40.718611),TRUE,4507894.1446,4733539.08,1854102.7448,1998487.7742
J13,81,81,BMT,Jamaica,111 St,Q,FALSE,J,Elevated,Jamaica,Manhattan,0,0,0,NA,POINT (-73.836345 40.697418),FALSE,231065.2526,232231.295,61291.0078,58405.993
F01,254,254,IND,Queens Blvd,Jamaica-179 St,Q,FALSE,F,Subway,Last Stop,Manhattan,1,1,1,NA,POINT (-73.783817 40.712646),FALSE,2358884.0252,2228300.215,1043485.9276,929938.8166
614,372,372,IRT,Pelham,Longwood Av,Bx,FALSE,6,Subway,Northbound,Manhattan,0,0,0,NA,POINT (-73.896435 40.816104),FALSE,323341.2558,320648.4676,102509.8878,100307.767
118,308,308,IRT,Broadway - 7Av,Cathedral Pkwy (110 St),M,FALSE,1,Subway,Uptown,Downtown,0,0,0,NA,POINT (-73.966847 40.803967),FALSE,1719718.5272,1705713.9510000001,828893.0154,816754.0188
R14,9,9,BMT,Broadway - Brighton,57 St-7 Av,M,TRUE,N Q R W,Subway,Uptown,Downtown,1,1,1,NA,POINT (-73.980658 40.764664),TRUE,5073687.7856,5376733.1964,1924682.4996,2018505.5408
607,365,365,IRT,Pelham,Castle Hill Av,Bx,FALSE,6,Elevated,Pelham Bay,Manhattan,0,0,0,NA,POINT (-73.851222 40.834255),FALSE,691851.103,678389.8776,285030.6256,268136.5896
B21,68,68,BMT,West End,Bay Pkwy,Bk,FALSE,D,Elevated,Manhattan,Southbound,1,1,1,NA,POINT (-73.993728 40.601875),FALSE,937374.1282,913008.771,392761.1766,368202.6044
623,394,394,IRT,Lexington Av,110 St,M,FALSE,6,Subway,The Bronx,Downtown,0,0,0,NA,POINT (-73.94425 40.79502),FALSE,1316764.6958,1275202.363,606169.4618,574212.769
230,333,333,IRT,Clark St,Wall St,M,TRUE,2 3,Subway,Uptown,Brooklyn,0,0,0,NA,POINT (-74.0091 40.706821),TRUE,2617999.6722,2723051.4594,1393776.6716,1455883.225
H13,201,201,IND,Rockaway,Beach 98 St,Q,FALSE,A S,Viaduct,Inbound,Rockaway Park,0,0,0,NA,POINT (-73.820558 40.585307),FALSE,24340.612,26228.065,8511.363,8526.2548
R15,10,10,BMT,Broadway - Brighton,49 St,M,TRUE,N R W,Subway,Uptown,Downtown,2,1,0,Uptown only,POINT (-73.984139 40.759901),TRUE,4151385.1274,4245749.2448,2197383.7842,2081032.2126
D12,220,220,IND,Concourse,155 St,M,FALSE,B D,Subway,The Bronx,Downtown,0,0,0,NA,POINT (-73.938209 40.830135),FALSE,259933.1208,256204.5748,108282.8572,103148.4268
S16,516,516,SIR,Staten Island,Huguenot,SI,FALSE,SIR,Open Cut,Ferry,South Shore,0,0,0,NA,POINT (-74.191794 40.533674),FALSE,0,0,0,0
255,350,350,IRT,Eastern Pky,Pennsylvania Av,Bk,FALSE,3,Elevated,Manhattan,New Lots,0,0,0,NA,POINT (-73.894895 40.664635),FALSE,385436.313,369148.0982,93694.7466,89369.2672
714,458,458,IRT,Flushing,46 St-Bliss St,Q,FALSE,7,Elevated,Outbound,Manhattan,0,0,0,NA,POINT (-73.918435 40.743132),FALSE,1886887.6296,1921273.347,805608.6304,804888.4112
213,426,426,IRT,Lenox - White Plains Rd,E 180 St,Bx,FALSE,2 5,Elevated,Northbound,Manhattan,1,1,1,NA,POINT (-73.873488 40.841894),FALSE,1023994.7898,971601.8314,377499.3112,343257.3188
